param_set,room,room_id,test_accuracy,f1,recall,precision,r2,mae,rmse,smape,confidence,winner_model,lstm_weight_pct,lgb_weight_pct,xgb_weight_pct,train_size,test_size
A,2C05-06,443,0.7765,0.7697,0.7765,0.8033,0.5308,1.5263,2.599,,,lightgbm,0.0,100.0,0.0,4949,3101
A,2C09,445,0.8352,0.8218,0.8352,0.819,0.5541,1.2877,2.2175,,,lightgbm,0.0,100.0,0.0,4949,3101
A,2C10-11,446,0.7211,0.6939,0.7211,0.7431,0.4457,1.8561,2.8507,,,xgboost,0.0,0.0,100.0,4949,3101
A,2C16-17,447,0.7588,0.7507,0.7588,0.7574,0.4062,2.0326,3.1357,,,lightgbm,0.0,100.0,0.0,4949,3101
A,3C05-06,448,0.6885,0.6664,0.6885,0.7189,0.4742,1.7915,2.772,,,xgboost,0.0,0.0,100.0,4865,3101
A,1C-MEETING,487,0.9865,0.9798,0.9865,0.9732,-1.161,0.4015,0.8237,,,xgboost,0.0,0.0,100.0,4067,2079
A,3C16-17,505,0.7259,0.7365,0.7259,0.808,0.464,2.2176,3.4604,,,xgboost,0.0,0.0,100.0,4837,3101
A,4C05,506,0.818,0.7451,0.818,0.6896,-0.2377,1.2495,2.2432,,,xgboost,0.0,0.0,100.0,4837,3143
B,2C05-06,443,0.7914,0.786,0.7914,0.8153,0.5161,1.522,2.6396,,,xgboost,0.0,0.0,100.0,4949,3101
B,2C09,445,0.8655,0.8482,0.8655,0.8543,0.59,1.234,2.1264,,,lightgbm,0.0,100.0,0.0,4949,3101
B,2C10-11,446,0.7569,0.7366,0.7569,0.7666,0.4982,1.7301,2.7123,,,xgboost,0.0,0.0,100.0,4949,3101
B,2C16-17,447,0.7514,0.7457,0.7514,0.7558,0.4164,2.0121,3.1085,,,lightgbm,0.0,100.0,0.0,4949,3101
B,3C05-06,448,0.742,0.7235,0.742,0.7507,0.5464,1.6011,2.5748,,,xgboost,0.0,0.0,100.0,4865,3101
B,1C-MEETING,487,0.9865,0.9798,0.9865,0.9732,-0.5614,0.2771,0.7001,,,lightgbm,0.0,100.0,0.0,4067,2079
B,3C16-17,505,0.7311,0.7421,0.7311,0.7953,0.5399,2.0059,3.206,,,lightgbm,0.0,100.0,0.0,4837,3101
B,4C05,506,0.8024,0.737,0.8024,0.6834,-0.284,1.321,2.2848,,,lightgbm,0.0,100.0,0.0,4837,3143
C,2C05-06,443,0.7939,0.7889,0.7939,0.8204,0.5557,1.5377,2.5293,,,xgboost,0.0,0.0,100.0,4949,3101
C,2C09,445,0.8781,0.8606,0.8781,0.8727,0.6063,1.2504,2.0838,,,lightgbm,0.0,100.0,0.0,4949,3101
C,2C10-11,446,0.7685,0.7516,0.7685,0.7777,0.5328,1.7245,2.6173,,,xgboost,0.0,0.0,100.0,4949,3101
C,2C16-17,447,0.7575,0.754,0.7575,0.7639,0.4327,1.9753,3.0648,,,lightgbm,0.0,100.0,0.0,4949,3101
C,3C05-06,448,0.7591,0.7401,0.7591,0.7707,0.5923,1.518,2.4409,,,lightgbm,0.0,100.0,0.0,4865,3101
C,1C-MEETING,487,0.9865,0.9798,0.9865,0.9732,-0.6085,0.306,0.7106,,,lightgbm,0.0,100.0,0.0,4067,2079
C,3C16-17,505,0.7491,0.7697,0.7491,0.8228,0.5647,1.9434,3.1185,,,lightgbm,0.0,100.0,0.0,4837,3101
C,4C05,506,0.8091,0.7406,0.8091,0.6872,-0.176,1.2943,2.1866,,,lightgbm,0.0,100.0,0.0,4837,3143
D,2C05-06,443,0.7801,0.7757,0.7801,0.8038,0.5199,1.5877,2.6291,,,lightgbm,0.0,100.0,0.0,4949,3101
D,2C09,445,0.8504,0.8365,0.8504,0.8371,0.6005,1.2755,2.0991,,,lightgbm,0.0,100.0,0.0,4949,3101
D,2C10-11,446,0.7614,0.7539,0.7614,0.7688,0.4946,1.7663,2.722,,,lightgbm,0.0,100.0,0.0,4949,3101
D,2C16-17,447,0.7652,0.7601,0.7652,0.7718,0.4415,2.0501,3.0411,,,xgboost,0.0,0.0,100.0,4949,3101
D,3C05-06,448,0.7717,0.7541,0.7717,0.7822,0.5887,1.6327,2.4518,,,xgboost,0.0,0.0,100.0,4865,3101
D,1C-MEETING,487,0.9663,0.9696,0.9663,0.973,-1.1611,0.49,0.8237,,,lightgbm,0.0,100.0,0.0,4067,2079
D,3C16-17,505,0.7259,0.744,0.7259,0.8036,0.519,2.1332,3.2779,,,lightgbm,0.0,100.0,0.0,4837,3101
D,4C05,506,0.7957,0.7338,0.7957,0.6854,-0.1224,1.3641,2.1362,,,lightgbm,0.0,100.0,0.0,4837,3143
