set,fold,room,engine,round,calib_acc,window_start,window_end
A,1,2C05-06,xgboost,150,0.7549,2025-02-04,2025-05-23
A,1,2C09,xgboost,150,0.7523,2025-02-04,2025-05-23
A,1,2C10-11,xgboost,150,0.7484,2025-02-04,2025-05-23
A,1,2C16-17,lightgbm,280,0.6678,2025-02-04,2025-05-23
A,1,3C05-06,lightgbm,280,0.6905,2025-02-06,2025-05-24
A,1,1C-MEETING,lightgbm,280,0.8936,2025-02-17,2025-05-27
A,1,3C16-17,lightgbm,280,0.7493,2025-02-06,2025-05-24
A,1,4C05,lightgbm,280,0.7725,2025-02-06,2025-05-24
B,1,2C05-06,xgboost,120,0.7536,2025-02-04,2025-05-23
B,1,2C09,lightgbm,70,0.7457,2025-02-04,2025-05-23
B,1,2C10-11,xgboost,120,0.749,2025-02-04,2025-05-23
B,1,2C16-17,lightgbm,70,0.6796,2025-02-04,2025-05-23
B,1,3C05-06,lightgbm,70,0.7004,2025-02-06,2025-05-24
B,1,1C-MEETING,lightgbm,70,0.8943,2025-02-17,2025-05-27
B,1,3C16-17,xgboost,120,0.7599,2025-02-06,2025-05-24
B,1,4C05,lightgbm,70,0.7725,2025-02-06,2025-05-24
C,1,2C05-06,lightgbm,140,0.7543,2025-02-04,2025-05-23
C,1,2C09,lightgbm,140,0.7523,2025-02-04,2025-05-23
C,1,2C10-11,xgboost,480,0.7523,2025-02-04,2025-05-23
C,1,2C16-17,lightgbm,140,0.675,2025-02-04,2025-05-23
C,1,3C05-06,lightgbm,140,0.6898,2025-02-06,2025-05-24
C,1,1C-MEETING,lightgbm,140,0.8943,2025-02-17,2025-05-27
C,1,3C16-17,lightgbm,140,0.7599,2025-02-06,2025-05-24
C,1,4C05,lightgbm,140,0.7725,2025-02-06,2025-05-24
D,1,2C05-06,xgboost,260,0.7477,2025-02-04,2025-05-23
D,1,2C09,lightgbm,420,0.7431,2025-02-04,2025-05-23
D,1,2C10-11,xgboost,260,0.7497,2025-02-04,2025-05-23
D,1,2C16-17,lightgbm,420,0.6907,2025-02-04,2025-05-23
D,1,3C05-06,lightgbm,420,0.6865,2025-02-06,2025-05-24
D,1,1C-MEETING,lightgbm,420,0.8629,2025-02-17,2025-05-27
D,1,3C16-17,lightgbm,420,0.7665,2025-02-06,2025-05-24
D,1,4C05,lightgbm,420,0.7725,2025-02-06,2025-05-24
A,2,2C05-06,xgboost,300,0.4567,2024-10-18,2025-02-03
A,2,2C09,lightgbm,290,0.6704,2024-10-18,2025-02-03
A,2,2C10-11,lightgbm,290,0.5341,2024-10-18,2025-02-03
A,2,2C16-17,xgboost,300,0.5806,2024-10-18,2025-02-03
A,2,3C05-06,xgboost,300,0.506,2024-10-21,2025-02-05
A,2,1C-MEETING,lightgbm,290,0.89,2024-11-09,2025-02-16
A,2,3C16-17,lightgbm,290,0.502,2024-10-21,2025-02-05
A,2,4C05,lightgbm,290,0.8538,2024-10-21,2025-02-05
B,2,2C05-06,xgboost,470,0.4705,2024-10-18,2025-02-03
B,2,2C09,xgboost,470,0.6789,2024-10-18,2025-02-03
B,2,2C10-11,xgboost,470,0.557,2024-10-18,2025-02-03
B,2,2C16-17,xgboost,470,0.6029,2024-10-18,2025-02-03
B,2,3C05-06,xgboost,470,0.5099,2024-10-21,2025-02-05
B,2,1C-MEETING,lightgbm,310,0.89,2024-11-09,2025-02-16
B,2,3C16-17,lightgbm,310,0.5165,2024-10-21,2025-02-05
B,2,4C05,xgboost,470,0.8538,2024-10-21,2025-02-05
C,2,2C05-06,xgboost,820,0.4744,2024-10-18,2025-02-03
C,2,2C09,xgboost,820,0.6769,2024-10-18,2025-02-03
C,2,2C10-11,xgboost,820,0.5393,2024-10-18,2025-02-03
C,2,2C16-17,xgboost,820,0.5799,2024-10-18,2025-02-03
C,2,3C05-06,xgboost,820,0.5139,2024-10-21,2025-02-05
C,2,1C-MEETING,lightgbm,1200,0.88,2024-11-09,2025-02-16
C,2,3C16-17,lightgbm,1200,0.5311,2024-10-21,2025-02-05
C,2,4C05,xgboost,820,0.8538,2024-10-21,2025-02-05
D,2,2C05-06,xgboost,1140,0.4692,2024-10-18,2025-02-03
D,2,2C09,lightgbm,1380,0.6723,2024-10-18,2025-02-03
D,2,2C10-11,lightgbm,1380,0.5446,2024-10-18,2025-02-03
D,2,2C16-17,xgboost,1140,0.5911,2024-10-18,2025-02-03
D,2,3C05-06,xgboost,1140,0.5132,2024-10-21,2025-02-05
D,2,1C-MEETING,lightgbm,1380,0.7843,2024-11-09,2025-02-16
D,2,3C16-17,xgboost,1140,0.4649,2024-10-21,2025-02-05
D,2,4C05,lightgbm,1380,0.8406,2024-10-21,2025-02-05
