window,room,first_day,last_day,n_days,pct_medium,majority_acc,snaive7_acc
fold-3,2C05-06,2024-07-01,2024-10-17,109,43.1,0.5046,0.7339
fold-2,2C05-06,2024-10-18,2025-02-03,109,38.5,0.4495,0.8165
fold-1,2C05-06,2025-02-04,2025-05-23,109,16.5,0.5963,0.5505
calib (current),2C05-06,2025-05-24,2025-09-09,109,32.1,0.6055,0.5688
test,2C05-06,2025-09-10,2026-04-26,229,31.4,0.5066,0.7424
fold-3,2C09,2024-07-01,2024-10-17,109,50.5,0.4771,0.9266
fold-2,2C09,2024-10-18,2025-02-03,109,22.0,0.633,0.8899
fold-1,2C09,2025-02-04,2025-05-23,109,11.0,0.6789,0.5872
calib (current),2C09,2025-05-24,2025-09-09,109,22.9,0.6239,0.844
test,2C09,2025-09-10,2026-04-26,229,14.4,0.7729,0.7817
fold-3,2C10-11,2024-07-01,2024-10-17,109,33.0,0.4862,0.844
fold-2,2C10-11,2024-10-18,2025-02-03,109,27.5,0.5229,0.844
fold-1,2C10-11,2025-02-04,2025-05-23,109,14.7,0.6239,0.6239
calib (current),2C10-11,2025-05-24,2025-09-09,109,33.0,0.4862,0.578
test,2C10-11,2025-09-10,2026-04-26,229,22.7,0.5721,0.6769
fold-3,2C16-17,2024-07-01,2024-10-17,109,26.6,0.6881,0.578
fold-2,2C16-17,2024-10-18,2025-02-03,109,22.9,0.4587,0.7431
fold-1,2C16-17,2025-02-04,2025-05-23,109,13.8,0.6239,0.6055
calib (current),2C16-17,2025-05-24,2025-09-09,109,35.8,0.4954,0.5688
test,2C16-17,2025-09-10,2026-04-26,229,31.0,0.5939,0.6507
fold-3,3C05-06,2024-07-05,2024-10-20,108,32.4,0.0926,0.7407
fold-2,3C05-06,2024-10-21,2025-02-05,108,25.9,0.5093,0.7685
fold-1,3C05-06,2025-02-06,2025-05-24,108,13.9,0.6111,0.5185
calib (current),3C05-06,2025-05-25,2025-09-09,108,48.1,0.3241,0.5741
test,3C05-06,2025-09-10,2026-04-26,229,32.8,0.4847,0.7031
fold-2,1C-MEETING,2024-11-09,2025-02-16,100,11.0,0.89,0.83
fold-1,1C-MEETING,2025-02-17,2025-05-27,100,7.0,0.89,0.8
calib (current),1C-MEETING,2025-05-28,2025-09-04,100,1.0,0.99,0.96
test,1C-MEETING,2025-09-05,2026-02-07,156,1.3,0.9872,0.9744
fold-3,3C16-17,2024-07-05,2024-10-20,108,3.7,0.2315,0.8889
fold-2,3C16-17,2024-10-21,2025-02-05,108,50.0,0.3333,0.8333
fold-1,3C16-17,2025-02-06,2025-05-24,108,21.3,0.537,0.5741
calib (current),3C16-17,2025-05-25,2025-09-09,108,43.5,0.3148,0.713
test,3C16-17,2025-09-10,2026-04-26,229,10.5,0.3537,0.7948
fold-3,4C05,2024-07-05,2024-10-20,108,11.1,0.8333,0.7593
fold-2,4C05,2024-10-21,2025-02-05,108,5.6,0.8519,0.713
fold-1,4C05,2025-02-06,2025-05-24,108,12.0,0.7685,0.6204
calib (current),4C05,2025-05-25,2025-09-09,108,11.1,0.8333,0.7037
test,4C05,2025-09-10,2026-04-29,232,10.8,0.8276,0.7069
